dates,company,rolling_total_layoffs
2020-03,AdRoll,9628
2020-03,Amplero,9628
2020-03,AngelList,9628
2020-03,B8ta,9628
2020-03,Bench,9628
2020-03,Bevi,9628
2020-03,Bird,9628
2020-03,Blueground,9628
2020-03,"Blume Global",9628
2020-03,Bounce,9628
2020-03,Cabin,9628
2020-03,Caliva,9628
2020-03,Catalant,9628
2020-03,Clutter,9628
2020-03,Compass,9628
2020-03,Consider.co,9628
2020-03,Convene,9628
2020-03,CTO.ai,9628
2020-03,DataRobot,9628
2020-03,DialSource,9628
2020-03,DISCO,9628
2020-03,"Divvy Homes",9628
2020-03,Domio,9628
2020-03,Drip,9628
2020-03,EasyPost,9628
2020-03,Ecobee,9628
2020-03,"Eight Sleep",9628
2020-03,Ejento,9628
2020-03,"Element Analytics",9628
2020-03,Everlane,9628
2020-03,FabHotels,9628
2020-03,Fareportal,9628
2020-03,Flowr,9628
2020-03,Flytedesk,9628
2020-03,"Flywheel Sports",9628
2020-03,Foodsby,9628
2020-03,Getaround,9628
2020-03,GoSpotCheck,9628
2020-03,GrayMeta,9628
2020-03,Help.com,9628
2020-03,Hibob,9628
2020-03,HOOQ,9628
2020-03,HopSkipDrive,9628
2020-03,Inspirato,9628
2020-03,"Iris Nova",9628
2020-03,Jama,9628
2020-03,Kazoo,9628
2020-03,KeepTruckin,9628
2020-03,Knotel,9628
2020-03,"Ladder Life",9628
2020-03,Leafly,9628
2020-03,Loft,9628
2020-03,Loftsmart,9628
2020-03,Lola,9628
2020-03,Lyric,9628
2020-03,Maven,9628
2020-03,Mogo,9628
2020-03,Nativo,9628
2020-03,"O'Reilly Media",9628
2020-03,"Oh My Green",9628
2020-03,OneWeb,9628
2020-03,Opal,9628
2020-03,OutboundEngine,9628
2020-03,Overtime,9628
2020-03,"Panda Squad",9628
2020-03,Passport,9628
2020-03,Peek,9628
2020-03,Peerfit,9628
2020-03,Peerspace,9628
2020-03,PeerStreet,9628
2020-03,Polarr,9628
2020-03,Popin,9628
2020-03,Puppet,9628
2020-03,Raken,9628
2020-03,Rangle,9628
2020-03,"Remote Year",9628
2020-03,Restaurant365,9628
2020-03,RigUp,9628
2020-03,Rover,9628
2020-03,Service,9628
2020-03,Siteimprove,9628
2020-03,SkySlope,9628
2020-03,Sonder,9628
2020-03,"Starship Technologies",9628
2020-03,Takl,9628
2020-03,"Tamara Mellon",9628
2020-03,Textio,9628
2020-03,"The Guild",9628
2020-03,ThirdLove,9628
2020-03,Thumbtack,9628
2020-03,TravelBank,9628
2020-03,TravelTriangle,9628
2020-03,TripActions,9628
2020-03,Triplebyte,9628
2020-03,Turo,9628
2020-03,uShip,9628
2020-03,WanderJaunt,9628
2020-03,WeWork,9628
2020-03,Wonderschool,9628
2020-03,Yonder,9628
2020-03,Zenoti,9628
2020-03,"Zeus Living",9628
2020-03,Zipcar,9628
2020-03,ZipRecruiter,9628
2020-04,1stdibs,36338
2020-04,Acko,36338
2020-04,"Ada Support",36338
2020-04,"Airy Rooms",36338
2020-04,Akulaku,36338
