company,total_laid_off,total_times_laid_off,first_layoff,last_layoff
Loft,1289,6,2020,2023
Swiggy,2880,5,2020,2023
Uber,7585,5,2020,2022
WeWork,1150,5,2020,2023
"Argo AI",682,4,2020,2022
Blend,860,4,2022,2023
Bounce,490,4,2020,2023
Gopuff,2300,4,2022,2022
Latch,335,4,2020,2022
Netflix,505,4,2022,2022
Ola,2800,4,2020,2023
OYO,1850,4,2020,2022
Patreon,151,4,2020,2022
Salesforce,10090,4,2020,2023
Shopify,1150,4,2020,2022
Vedantu,1109,4,2022,2022
Amazon,18150,3,2022,2023
Bolt,307,3,2022,2023
Bytedance,3750,3,2021,2023
Clearco,235,3,2022,2023
Coinbase,2110,3,2022,2023
Compass,1096,3,2020,2022
"Delivery Hero",556,3,2021,2023
Doma,1075,3,2022,2022
"Ethos Life",108,3,2020,2023
Glossier,249,3,2020,2022
Groupon,3800,3,2020,2023
Hootsuite,520,3,2022,2023
Intercom,212,3,2020,2022
Katerra,3074,3,2020,2021
Lyft,1742,3,2020,2022
Meesho,650,3,2020,2022
"New Relic",290,3,2020,2022
Oda,210,3,2022,2022
"Pear Therapeutics",143,3,2022,2022
Peloton,4084,3,2022,2022
Redfin,1568,3,2020,2022
ShareChat,701,3,2020,2023
Sonder,750,3,2020,2023
StockX,300,3,2020,2022
Trax,300,3,2020,2022
Twitter,3940,3,2022,2023
Unacademy,1500,3,2022,2022
Voi,265,3,2020,2022
Vroom,882,3,2022,2023
"Zeus Living",217,3,2020,2022
Zymergen,280,3,2020,2022
2TM,190,2,2022,2022
8x8,355,2,2022,2023
Airbnb,1930,2,2020,2023
Alice,176,2,2022,2022
Appgate,164,2,2022,2023
"Aqua Security",89,2,2020,2022
AvantStay,224,2,2022,2022
Balto,65,2,2022,2022
Better.com,3900,2,2021,2022
"Beyond Meat",240,2,2022,2022
Bird,544,2,2020,2022
Bitso,180,2,2022,2022
Bizzabo,220,2,2022,2022
Blockchain.com,260,2,2022,2023
Bonsai,59,2,2022,2022
Booking.com,4601,2,2020,2022
Brex,198,2,2020,2022
Brighte,88,2,2022,2022
"Built In",78,2,2020,2022
"Bustle Digital Group",43,2,2020,2023
Byju's,4000,2,2022,2023
Cameo,167,2,2022,2022
"Carbon Health",450,2,2022,2023
"Career Karma",82,2,2022,2023
Carvana,4000,2,2022,2022
Cerebral,685,2,2022,2023
"Chipper Cash",150,2,2022,2023
ChowNow,140,2,2022,2022
Chrono24,145,2,2022,2023
Clari,65,2,2022,2023
